,fileName,genus,family,ownerInstitutionCode,old_scientificName,new_scientificName
0,UWZM-F-0001570.JPG,Lepomis ,Centrarchidae,UWZM,Lepomis macrochirus,Lepomis macrochirus
1,UWZM-F-0001571.JPG,Lepomis ,Centrarchidae,UWZM,Lepomis macrochirus,Lepomis macrochirus
2,UWZM-F-0001572.JPG,Lepomis ,Centrarchidae,UWZM,Lepomis macrochirus,Lepomis macrochirus
3,UWZM-F-0001573.JPG,Lepomis ,Centrarchidae,UWZM,Lepomis macrochirus,Lepomis macrochirus
4,UWZM-F-0001574.JPG,Lepomis ,Centrarchidae,UWZM,Lepomis macrochirus,Lepomis macrochirus
5,UWZM-F-0001575.JPG,Lepomis ,Centrarchidae,UWZM,Lepomis macrochirus,Lepomis macrochirus
6,UWZM-F-0001576.JPG,Lepomis ,Centrarchidae,UWZM,Lepomis macrochirus,Lepomis macrochirus
7,UWZM-F-0001577.JPG,Lepomis ,Centrarchidae,UWZM,Lepomis macrochirus,Lepomis macrochirus
8,UWZM-F-0001578.JPG,Lepomis ,Centrarchidae,UWZM,Lepomis macrochirus,Lepomis macrochirus
9,UWZM-F-0001579.JPG,Lepomis ,Centrarchidae,UWZM,Lepomis macrochirus,Lepomis macrochirus
10,UWZM-F-0001580.JPG,Lepomis ,Centrarchidae,UWZM,Lepomis macrochirus,Lepomis macrochirus
11,UWZM-F-0001581.JPG,Lepomis ,Centrarchidae,UWZM,Lepomis macrochirus,Lepomis macrochirus
12,UWZM-F-0001582.JPG,Lepomis ,Centrarchidae,UWZM,Lepomis macrochirus,Lepomis macrochirus
13,UWZM-F-0001583.JPG,Lepomis ,Centrarchidae,UWZM,Lepomis macrochirus,Lepomis macrochirus
14,UWZM-F-0001584.JPG,Lepomis ,Centrarchidae,UWZM,Lepomis macrochirus,Lepomis macrochirus
15,UWZM-F-0001585.JPG,Lepomis ,Centrarchidae,UWZM,Lepomis macrochirus,Lepomis macrochirus
16,UWZM-F-0001586.JPG,Lepomis ,Centrarchidae,UWZM,Lepomis macrochirus,Lepomis macrochirus
17,UWZM-F-0001587.JPG,Lepomis ,Centrarchidae,UWZM,Lepomis macrochirus,Lepomis macrochirus
18,UWZM-F-0001588.JPG,Lepomis ,Centrarchidae,UWZM,Lepomis macrochirus,Lepomis macrochirus
19,UWZM-F-0001589.JPG,Lepomis ,Centrarchidae,UWZM,Lepomis macrochirus,Lepomis macrochirus
20,UWZM-F-0001590.JPG,Lepomis ,Centrarchidae,UWZM,Lepomis macrochirus,Lepomis macrochirus
21,UWZM-F-0001591.JPG,Lepomis ,Centrarchidae,UWZM,Lepomis macrochirus,Lepomis macrochirus
22,UWZM-F-0001592.JPG,Lepomis ,Centrarchidae,UWZM,Lepomis macrochirus,Lepomis macrochirus
23,UWZM-F-0001593.JPG,Lepomis ,Centrarchidae,UWZM,Lepomis macrochirus,Lepomis macrochirus
24,UWZM-F-0001594.JPG,Lepomis ,Centrarchidae,UWZM,Lepomis macrochirus,Lepomis macrochirus
25,UWZM-F-0001595.JPG,Lepomis ,Centrarchidae,UWZM,Lepomis macrochirus,Lepomis macrochirus
26,UWZM-F-0001597.JPG,Lepomis ,Centrarchidae,UWZM,Lepomis macrochirus,Lepomis macrochirus
27,UWZM-F-0001598.JPG,Lepomis ,Centrarchidae,UWZM,Lepomis macrochirus,Lepomis macrochirus
28,UWZM-F-0001599.JPG,Lepomis ,Centrarchidae,UWZM,Lepomis macrochirus,Lepomis macrochirus
29,UWZM-F-0001600.JPG,Lepomis ,Centrarchidae,UWZM,Lepomis macrochirus,Lepomis macrochirus
30,UWZM-F-0001601.JPG,Lepomis ,Centrarchidae,UWZM,Lepomis macrochirus,Lepomis macrochirus
31,UWZM-F-0001602.JPG,Lepomis ,Centrarchidae,UWZM,Lepomis macrochirus,Lepomis macrochirus
32,UWZM-F-0001603.JPG,Lepomis ,Centrarchidae,UWZM,Lepomis macrochirus,Lepomis macrochirus
33,UWZM-F-0001604.JPG,Lepomis ,Centrarchidae,UWZM,Lepomis macrochirus,Lepomis macrochirus
34,UWZM-F-0001605.JPG,Lepomis ,Centrarchidae,UWZM,Lepomis macrochirus,Lepomis macrochirus
35,UWZM-F-0001606.JPG,Lepomis ,Centrarchidae,UWZM,Lepomis macrochirus,Lepomis macrochirus
