family,updated_names,taxa,dorsal fin,anterior dorsal fin,posterior dorsal fin,adipose fin,caudal fin,anal fin,pectoral fin,pelvic fin,barbel,mouth,caudal peduncle,caudal fin upper lobe,caudal fin lower lobe,additional annotations?,,,
Acropomatidae,Acropoma hanedai,Acropoma hanedai,1,1,1,0,1,1,1,1,0,1,1,1,1,,,,
Acropomatidae,Acropoma japonicum,Acropoma japonicum,1,1,1,0,1,1,1,1,0,1,1,1,1,,,,
Acropomatidae,Synagrops japonicus,Synagrops japonicus,1,1,1,0,1,1,1,1,0,1,1,1,1,,,,
Acropomatidae,Synagrops philippinensis,Synagrops philippinensis,1,1,1,0,1,1,1,1,0,1,1,1,1,,,,
Alepocephalidae ,Alepocephalus bicolor,Alepocephalus bicolor,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Ambassidae,Ambassis gymnocephalus,Ambassis gymnocephalus,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Ambassidae,Ambassis miops,Ambassis miops,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Amiiformes,Amia calva,Amia calva,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Anabantiformes,Channa argus,Channa argus,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Anabantiformes,Channa asiatica,Channa asiatica,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Anabantiformes,Channa gachua,Channa gachua,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Anabantiformes,Channa lucius,Channa lucius,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Anabantiformes,Channa marulius,Channa marulius,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Anabantiformes,Channa micropeltes,Channa micropeltes,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Anabantiformes,Channa punctata,Channa punctata,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Anabantiformes,Channa stewartii,Channa stewartii,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Anabantiformes,Channa striata,Channa striata,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Anguillidae,Anguilla rostrata,Anguilla rostrata,1,0,0,0,1,1,1,0,0,1,1,1,1,,,,
Aphredoderidae,Aphredoderus sayanus,Aphredoderus sayanus,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Aploactinidae,Erisphex simplex,Erisphex simplex,1,1,1,0,1,1,1,1,0,1,1,1,1,,,,
Argentinidae,Argentina kagoshimae,Argentina kagoshimae,1,0,0,1,1,1,1,1,0,1,1,1,1,,,,
Argentinidae,Glossanodon semifasciatus,Glossanodon semifasciatus,1,0,0,1,1,1,1,1,0,1,1,1,1,,,,
Aspredinidae,Hoplomyzon sexpapilostoma,Hoplomyzon sexpapilostoma,1,0,0,0,1,1,1,1,1,1,1,1,1,,,,
Ateleopodidae,Ateleopus japonicus,Ateleopus japonicus,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
